"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2M2PDUGG","thesis","2004","林振冬; 王明習; Ming-Shi Wang","符合臨床文件架構標準的電子病歷之研製","","","","","https://hdl.handle.net/11296/ks5n7q","推動電子病歷的實現是醫療資訊發展的重要方向，希望經由病歷的交換與分享機制來合理運用醫療資源，並進而提昇整體醫療環境。在此方面，醫療資訊標準的採用與推廣扮演著相當重要的角色，故而有不少的研究投入於這個領域。但由於醫療院所之資訊系統各不相同，所呈現之電子病歷亦各異其趣，目前衛生署也尚未制定一套可供依循之標準，所以在交換的過程中必須依照交換的對象與內容進行特定之調整。 本研究計畫以臨床文件架構(Clinical Document Architecture, CDA)之架構標準為依據，提出一致性的方式，期能改善以上之缺點。CDA以醫療物件之角度來描述臨床文件，藉此構成電子病歷之元素，CDA可以是電子病歷的一小部分元件、或是外部來源、或是整體架構。因為是國際性的通用標準，也具有較高的擴展性和對未來演變的適應性。在本研究環境中，以醫院內依照時間軸之演進所產生的不同文件構成電子病歷，同時藉由跨院區之交叉查詢與文件調閱效果驗證CDA在交換過程之便利與彈性。","2004","2022-07-22 05:51:03","2022-07-22 05:51:03","","","74","","","","","","","","","","國立成功大學","台南市","","","","","","","","Publication Title: 工程科學系碩博士班 Volume: 碩士","","C:\Users\BlackCat\Zotero\storage\FQT2HNUF\林振冬 - 2004 - 符合臨床文件架構標準的電子病歷之研製.pdf","","","","","","","王明習; Ming-Shi Wang","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LLRGCAG9","webpage","2017","张坤丽; ZHANG Kunli; 马鸿超; M. A. Hongchao; 赵悦淑; ZHAO Yueshu; 昝红英; Z. A. N. Hongying; 庄雷; ZHUANG Lei","基于自然语言处理的中文产科电子病历研究","","","","","http://www.xml-data.org/ZZDXXBLXB/html/c95b7123-2803-492d-9bcd-64b071796bf1.htm","电子病历中蕴含着大量的医疗知识和患者的健康信息，而产科电子病历的结构化及信息抽取对临床决策支持及提高人口的生育健康水平具有重要意义.首先对中文产科电子病历的结构特点及内容进行了分析，并采用基于规则的方法对电子病历数据进行了清洗和结构化；其次采用最大熵(ME)模型及基于规则方法按治疗类型对电子病历进行分类，分类的<i>F</i>值达到88.16%；最后，为了进一步利用电子病历进行信息抽取和知识挖掘，以短句为单位，相似度为衡量标准，采用支持向量机(SVM)模型对首次病程记录进行去重处理及自动差异化分析，从分析的结果中筛选出68.6%的重复及相似短句.","2017-12-15","2022-07-22 05:44:05","2023-09-13 11:34:15","2022-07-22 05:44:05","","","","","","","","","","","","","","cn","http://creativecommons.org/licenses/by/3.0/","","","","","","ISSN: 1671-6841 Publisher: 郑州大学学报(理学版) abstractTranslation:  電子病歷中蘊藏著大量的醫療知識和患者的健康信息，而產科電子病歷的成型及信息抽取對臨床決策支持及人口生育健康水平的提高具有重要意義。內容進行了分析，並採用基於規則的方法對電子病歷數據進行了清理和塑造；其次採用最大熵（ME）模型及基於規則方法按治療類型對電子病歷數據進行分類、分類的<i>F< /i>值達到88.16%;最後，為了進一步利用電子病歷進行信息抽取和知識挖掘，以短句為單位，近似度為簡化標準，採用支持支持機（SVM）模型對首次病程記錄進行去重處理及自動差異化分析，從分析的結果中篩選出68.6%的重複及相似短句。 titleTranslation: 基於自然語言處理的中文產科電子病歷研究","","C:\Users\BlackCat\Zotero\storage\EJKC9AC8\张坤丽 等。 - 2017 - 基于自然语言处理的中文产科电子病历研究.pdf; C:\Users\BlackCat\Zotero\storage\2B5WZQ8H\c95b7123-2803-492d-9bcd-64b071796bf1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUUBTCEI","thesis","2019","尤崑名; 林迺衛; Nai-Wei Lin","中醫病歷系統","","","","","https://hdl.handle.net/11296/du6968","目前中醫診斷治療系統僅提供文字記錄功能。這種簡易的病歷記錄，缺乏中醫症狀、證候、療效、及方劑等的標準化及量化，這些缺陷非常不利於臨床即時的電腦輔助病勢分析及視覺化呈現，也非常不利於後續透過資料探勘及機器學習的診斷治療研究。本篇論文根據本研究團隊所開發的中醫診斷治療系統，研製一個中醫病歷系統，提供標準化的中醫症狀、證候、療效、及方劑等的病歷記錄。本篇論文也根據病人連續看診的病歷記錄，實作量化的證候趨勢分析功能，輔助中醫師臨床即時病勢監控及方劑療效評估。","2019","2022-07-22 05:32:23","2022-09-19 00:39:47","","","39","","","","","","","","","","國立中正大學","嘉義縣","","","","","","","","Publication Title: 資訊工程研究所 Volume: 碩士","","","","實驗室","","","","","林迺衛; Nai-Wei Lin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8C9VXMN2","journalArticle","2008","李昊旻 李莹 段会龙 吕旭东","中文病历文档术语提取和否定检出方法","Zhōngguó shengwú yīxué, gōngchéng xuébào","","0258-8021","10.3969/j.issn.0258-8021.2008.05.016","","利用生物医学术语系统中的词汇和概念,为存有大量珍贵信息的非结构化临床文档建立有效的索引,以便进行信息挖掘和利用,国际上相关研究已经开展多年,而基于中文病历文档概念索引的研究尚属空白。本研究将现有的中文版的国际疾病分类（ICD）集成到统一医学语言系统（UMLS）中,依据中文语言处理的特殊性,对中文电子病历文档进行统计分析,提出了一套中文病历文档术语提取和否定检出的方法,可用于建立中文病历文档的概念索引。术语提取阶段利用高灵敏的最大匹配法并结合通用分词技术来控制假阳性;而在概念否定意义检出部分,充分利用中文特点并基于现有中文处理技术提出了一种简化的子句模式匹配方法。选取了两组医疗文本数据集对算法进行了验证,术语提取算法的灵敏性分别为99.51%和100%,误检率分别为1.46%和1.66%。否定检出算法的阳性预测值均为100%,阴性预测值分别为100%和98.99%,除标点使用不规范等文书质量问题外,基本可以正确检出。","2008","2022-07-23 05:11:18","2023-11-28 02:21:13","","716–721","","5","27","","","","","","","","","","chi","","","","","primo.lib.ccu.edu.tw","","Publisher: 浙江大学生物医学工程与仪器科学学院生物医学工程教育部重点实验室,杭州 abstractTranslation:  利用生物醫學術語系統中的詞彙和概念，為存有大量重要信息的非整理臨床文檔建立有效的索引，以便進行信息挖掘和利用，國際上相關研究已經開展多年，並以中文病歷文檔概念索引為基礎本研究將現有的中文版國際疾病分類（ICD）集成到統一醫學語言系統（UMLS）中，借鑒中文語言處理的特殊性，對中文電子病歷文檔進行統計分析，提出建立了一套中文病歷文檔提取和否定檢出的方法，可用於建立中文病歷文檔的概念索引。檢出部分，充分利用中文特點並基於現有的中文處理技術提出了一種簡化的子句模式匹配方法。從而實現了醫療文本數據集對算法進行了驗證，分別提取算法的靈敏性為99.51 %和100%，正確檢出率分別為1.46%和1.66%。 否定檢出模型的積極預測值分別為100%，陰性預測值分別為100%和98.99%，除標點使用不規範等文書質量問題外，基本可以正確檢出。 titleTranslation: 中文病歷文檔術語提取和否定檢測方法","","C:\Users\BlackCat\Zotero\storage\QGKA9R64\中文病历文档术语提取和否定检出方法.pdf","","","术语提取; 医学语言处理; 否定检出","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NFFW5U6K","webpage","","陈衡","中文医学文档分词及关键词提取研究","","","","","https://xueshu.baidu.com/usercenter/paper/show?paperid=1r4g0040vh3y0gp0xs1e0vg0cq628891&site=xueshu_se","目的：分詞和關鍵詞提取，是中文自然語言處理的基礎，本文通過對中文電子病歷文檔的分詞和關鍵詞提取研究，為電子病歷結構化研究提供條件[1]。對象：從省內某三甲醫院電子病歷系統中導出的170份腎內科電子病歷的現病史部分，約為59000個中文字。過程與方法：選擇分詞系統，利用ICTCLAS系統作為研究工具，通過加入醫學專業詞典以及一些必要的調整和人工干預，提高其在醫學領域的分詞準確率。結果：采用本方法的處理，分詞系統對現病史的分詞準確率有了顯著提高，達到90％。結論：以170份的現病史做樣本進行研究，結果基本達到預期，若擴大樣本容量，其結果能達到或高于本研究的結果，有一定的推廣意義。","","2022-07-23 05:47:19","2023-09-13 11:36:52","2022-07-23 05:47:19","","","","","","","","","","","","","","zh","","","","","","","abstractTranslation:  目的：分詞和關鍵詞提取，是中文自然語言處理的基礎，論文通過對中文電子病歷文檔的分詞和關鍵詞提取研究，為電子病歷形成研究提供[1]。對象：來自省內某三甲醫院電子病歷系統中導出的170份腎內科電子病歷的現病史部分，大約59000個中文字。過程與專業方法：選擇分詞系統，利用ICTCLAS系統作為研究工具，通過加入醫學詞典以及一些必要的調整和人工干預，提高其在醫學領域的分詞準確率。結果：採用本方法的處理，分詞系統對現病史的分詞準確率有了顯著提高，達到90%。結論：以170份的現病史做樣本進行研究，結果基本達到預期，若擴大樣本容量，其結果能達到或本研究的結果，有一定的推廣意義。 titleTranslation: 中文醫學文檔分詞及關鍵詞提取研究","","","","中文電子病歷; 分詞","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PYRH6FC2","journalArticle","2017","关毅王润奇 李雪莉 黄玉丽 何彬","中文电子病历命名实体识别的主动学习方法研究","中国数字医学","","1673-7571","","","","2017","2022-07-23 05:47:46","2023-11-28 02:44:19","","51-53","","10","12","","","","","","","","","","","","","","","","","","","","","知網; No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KTRJIB9D","journalArticle","2015","徐天明; 樊银亭; 马翠霞; 滕东兴","面向电子病历中文医学信息的可视组织方法","计算机系统应用","","1003-3254","10.3969/j.issn.1003-3254.2015.11.007","","針對當前大量電子病歷信息無法充分利用的問題,研究了面向電子病歷中文醫學信息的主題建模及可視組織方法.首先基于電子病歷數據和醫療問答數據,進行預處理并轉換為純文本語料,然后采用基于Mallet的LDA主題模型訓練算法進行主題建模,并結合主題模型分析的需求進行可視組織與呈現,最后構建了面向中文醫學信息的可視分析系統.實例驗證表明該系統可以有效的輔助用戶進行主題模型的構建與分析,并有利于進一步的診斷.","2015","2022-07-23 05:47:46","2023-11-28 02:21:12","","44-51","","11","24","","","","","","","","","","","","","","","","","","","C:\Users\BlackCat\Zotero\storage\637ZLSC8\滕东兴徐天明 樊银亭 马翠霞 - 2015 - 面向电子病历中文医学信息的可视组织方法.pdf","","知網","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SZG7QR9R","conferencePaper","2008","沈正平","面向对象的结构化病历模型","中华医院信息网络大会暨第四届中美医院信息化论坛","","","","","","2008-09-26","2022-07-23 05:47:46","2023-08-29 07:29:42","","","","","","","","","","","","","","","","","","","","","","","","","","無法取得; 回收","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M9BXRINI","conferencePaper","2018","蹇奕苹","自然语言处理在电子病历文本挖掘领域研究进展","中华医学会第二十四次全国医学信息学术会议","","","","","","2018-10-30","2022-07-23 05:47:46","2022-08-14 07:57:54","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\BlackCat\Zotero\storage\HJSWV8CB\蹇奕苹 - 2018 - 自然语言处理在电子病历文本挖掘领域研究进展.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87EEFPNI","journalArticle","2012","万小娜; 陈盛双; 张卓","多目标动态规划在电子病历结构化的应用","Ji suan ji gong cheng yu ying yong","","1002-8331","","","","2012","2022-07-23 05:47:46","2023-11-28 02:44:18","","218-223","","35","48","","","","","","","","","","","","","","","","","","","C:\Users\BlackCat\Zotero\storage\ZTIPNWRQ\万小娜 等。 - 2012 - 多目标动态规划在电子病历结构化的应用.pdf","","知網; No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
